"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-01-26T23:01:07.000Z","video","Train Vs Giant Pit!

Curious to see if we can replicate the results we got on our last video!","","https://pbs.twimg.com/media/GEydywvXAAAoXTz.jpg","256K","31K","14K"
"2024-01-26T13:58:54.000Z","text","Congrats :D","","","16K","314","1.4K"
"2024-01-26T13:48:56.000Z","text","Here are the winners of the $250,000 giveaway! They each will receive $25,000 :D










","","","250K","31K","48K"
"2024-01-25T16:05:40.000Z","text","This is now the most reposted post in history 😮","","","237K","39K","24K"
"2024-01-24T01:54:26.000Z","text","I grew up playing so much Pokémon on my Gameboy and it’s crazy that all the games now are still basically the same thing. I’d would give anything for them to reinvent the model and just slightly try to freshen it up","","","66K","3.1K","2.4K"
"2024-01-22T18:32:08.000Z","text","I’m gonna give 10 random people that repost this and follow me $25,000 for fun (the $250,000 my X video made)

I’ll pick the winners in 72 hours","","","2.3M","3.4M","425K"
"2024-01-22T18:27:36.000Z","text","MY FIRST X VIDEO MADE OVER $250,000! 😲

But it’s a bit of a facade. Advertisers saw the attention it was getting and bought ads on my video (I think) and thus my revenue per view is prob higher than what you’d experience","","","292K","45K","15K"
"2024-01-19T19:11:06.000Z","text","How much revenue do you think my post on here with 124,000,000 views made? 

Will share screenshot of rev in 3 days","","","93K","11K","9.6K"
"2024-01-19T00:29:11.000Z","text","100M views? Dang lol","","","62K","5K","2.9K"
"2024-01-18T12:39:59.000Z","text","Do I laugh or should I be concerned","","","42K","674","1.2K"
"2024-01-16T00:11:13.000Z","text","I’m super curious how much the ad revenue will make 👀","","","43K","932","1.9K"
"2024-01-15T23:54:07.000Z","video","$1 Car vs $100,000,000 Car!!!

I’m curious how much ad revenue a video on X would make so I’m reuploading this to test it. Will share ad rev next week ❤️","","https://pbs.twimg.com/media/GD62KMqW4AApG8j.jpg","500K","63K","20K"
"2024-01-14T02:34:43.000Z","text","Shhh","","","15K","151","295"
"2024-01-13T17:00:26.000Z","text","I gave someone $500,000 in cash but the only catch was for 100 hours I’d do everything in my power to destroy the $500,000.. Go Watch :D","","","135K","8.1K","7K"
"2024-01-11T15:16:10.000Z","text","Who has the biggest eggplant","","","17K","177","601"
"2024-01-10T16:21:27.000Z","text","Ive also been doing YouTube for 60%+ of my life. I can barely remember the pre YouTube days","","","48K","566","513"
"2024-01-01T17:58:04.000Z","image","These were the most subscribed to YouTube channels of 2023 🥰","","https://pbs.twimg.com/media/GCxn-yxXYAADFL1?format=jpg&name=small","101K","5.8K","6.7K"
